期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
2022022,2022-03-01(二),"01,07,11,15,17,19",06,9,6751389,162,121624,1841,3000,95683,200,1710271,10,12553973,5,"北京1注,河北1注,江苏3注,浙江1注,湖北1注,四川1注,宁夏1注,共9注。",1651680455
2022021,2022-02-27(日),"03,07,22,24,26,31",14,16,6650843,74,446173,975,3000,61811,200,1321737,10,8437330,5,"江西1注,广东15注,共16注。",1653333569
2022020,2022-02-24(四),"09,11,14,22,30,32",01,1,10000000,52,533809,803,3000,50405,200,1040870,10,10072002,5,"浙江1注,共1注。",1660696455
2022019,2022-02-22(二),"05,06,14,20,21,25",08,13,6113016,123,147044,2128,3000,95925,200,1614752,10,13848553,5,"上海1注,江苏1注,浙江2注,江西1注,广东6注,贵州1注,云南1注,共13注。",1587422145
2022018,2022-02-20(日),"07,11,16,17,30,32",16,2,10000000,178,169901,914,3000,59285,200,1239517,10,8891793,5,"天津1注,湖南1注,共2注。",1612631799
2022017,2022-02-17(四),"06,09,24,29,30,32",07,5,8716688,162,143390,1128,3000,70487,200,1372481,10,11173864,5,"北京2注,河北1注,贵州1注,甘肃1注,共5注。",1541904440
2022016,2022-02-15(二),"05,10,19,20,29,31",14,15,6190322,336,66424,2068,3000,98815,200,1670638,10,9929759,5,"河北2注,江苏2注,山东2注,湖北4注,湖南2注,广东1注,四川2注,共15注。",1515799969
2022015,2022-02-13(日),"06,14,16,27,28,31",07,9,6685876,95,199643,2388,3000,90213,200,1527884,10,14657414,5,"浙江2注,山东2注,湖北1注,广东1注,广西1注,云南1注,新疆1注,共9注。",1541699154
2022014,2022-02-10(四),"06,07,13,14,15,27",04,7,7794467,469,52135,1376,3000,76286,200,1386459,10,8474637,5,"河北1注,辽宁1注,上海1注,浙江1注,安徽1注,福建1注,广西1注,共7注。",1544973715
2022013,2022-02-08(二),"02,03,04,07,10,18",15,2,10000000,133,221005,1366,3000,64462,200,1337014,10,7260955,5,"山东1注,重庆1注,共2注。",1526180218
2022012,2022-01-27(四),"04,07,08,29,30,31",01,9,7305724,193,134401,2249,3000,107244,200,1918461,10,12203173,5,"内蒙古2注,黑龙江1注,浙江2注,福建1注,湖南1注,广东2注,共9注。",1457999052
2022011,2022-01-25(二),"06,15,23,24,25,33",15,4,10000000,125,239630,1478,3000,58576,200,1159337,10,7691970,5,"河北1注,辽宁1注,吉林1注,深圳1注,共4注。",1445932371
2022010,2022-01-23(日),"12,18,19,20,21,32",15,7,7878499,139,181200,1949,3000,89464,200,1614980,10,11446890,5,"北京1注,内蒙古1注,江苏1注,湖北1注,云南1注,陕西1注,新疆1注,共7注。",1396071026
2022009,2022-01-20(四),"04,15,17,19,25,28",16,1,10000000,266,112827,1024,3000,57970,200,1214030,10,7983998,5,"甘肃1注,共1注。",1375659920
2022008,2022-01-18(二),"02,03,07,09,20,21",13,3,10000000,132,179611,1339,3000,79633,200,1629158,10,10801916,5,"福建1注,广东1注,四川1注,共3注。",1295623770
2022007,2022-01-16(日),"01,20,22,23,25,28",16,3,10000000,81,459735,640,3000,46625,200,1077232,10,6769528,5,"广东3注,共3注。",1254497537
2022006,2022-01-13(四),"03,06,09,15,22,31",02,7,7682542,173,135677,2173,3000,95830,200,1681775,10,10924090,5,"河北3注,安徽1注,四川2注,新疆1注,共7注。",1172781808
2022005,2022-01-11(二),"07,10,12,16,19,31",16,2,10000000,74,379503,1112,3000,62198,200,1300134,10,9851401,5,"北京1注,湖北1注,共2注。",1156142875
2022004,2022-01-09(日),"05,19,24,28,30,32",14,9,6141105,62,207055,2173,3000,111283,200,1920330,10,23391660,5,"山西1注,江苏2注,河南1注,广东2注,广西1注,云南2注,共9注。",1091893203
2022003,2022-01-06(四),"02,05,16,17,18,30",06,7,7708412,181,130931,1968,3000,91043,200,1577681,10,13280726,5,"河北1注,江苏2注,湖南1注,海南1注,四川1注,云南1注,共7注。",1108650848
2022002,2022-01-04(二),"02,12,21,23,25,31",08,9,7295582,134,192726,1411,3000,71926,200,1403343,10,12856812,5,"天津1注,河北2注,浙江2注,江西1注,河南1注,云南1注,深圳1注,共9注。",1091513907
2022001,2022-01-02(日),"06,13,15,17,20,21",03,4,10000000,83,389050,1268,3000,69120,200,1351405,10,11787199,5,"江苏1注,浙江1注,湖南1注,四川1注,共4注。",1079698248
2021150,2021-12-30(四),"09,14,20,21,24,26",04,37,5660828,239,127879,2288,3000,99846,200,1869866,10,11170394,5,"北京1注,河北1注,安徽25注,福建1注,江西1注,重庆1注,河南1注,广西1注,贵州1注,陕西1注,新疆2注,深圳1注,共37注。其中一等奖特别奖为：北京1注,河北1注,安徽25注,重庆1注,河南1注,新疆2注。",1022824601
2021149,2021-12-28(二),"05,10,15,18,19,32",05,8,7864325,103,278089,1366,3000,75921,200,1446067,10,12077552,5,"内蒙古1注,上海1注,浙江3注,深圳3注,共8注。其中一等奖特别奖为：内蒙古1注,浙江1注。",1140585301
2021148,2021-12-26(日),"10,12,15,17,19,20",08,8,7622855,175,149877,1942,3000,95228,200,1716355,10,15659434,5,"辽宁1注,江西1注,湖南1注,广西2注,海南1注,四川1注,贵州1注,共8注。其中一等奖特别奖为：江西1注,广西2注,海南1注,四川1注。",1117570138
2021147,2021-12-23(四),"05,10,11,13,27,28",09,13,6608176,194,134705,5004,3000,114915,200,2023736,10,12269507,5,"北京2注,河北1注,辽宁2注,黑龙江1注,江苏2注,福建1注,河南1注,湖北1注,云南1注,深圳1注,共13注。其中一等奖特别奖为：北京2注,河北1注,辽宁2注,黑龙江1注,江苏2注,福建1注,云南1注。",1099867308
2021146,2021-12-21(二),"07,09,21,22,26,32",03,6,9424198,103,322150,1568,3000,81783,200,1646072,10,13051262,5,"内蒙古1注,江苏1注,浙江1注,河南1注,湖南1注,深圳1注,共6注。其中一等奖特别奖为：浙江1注,湖南1注。",1107375000
2021145,2021-12-19(日),"04,07,10,14,16,26",09,10,7832457,159,222677,1811,3000,106304,200,1896251,10,13235094,5,"吉林1注,上海2注,江苏1注,安徽1注,江西1注,重庆3注,河南1注,共10注。其中一等奖特别奖为：上海2注,安徽1注。",1064375720
2021144,2021-12-16(四),"02,05,13,15,23,26",07,5,9315997,172,156831,2181,3000,100376,200,1818706,10,16847455,5,"辽宁1注,上海1注,浙江1注,湖南1注,广东1注,共5注。其中一等奖特别奖为：浙江1注,湖南1注。",1036483149
2021143,2021-12-14(二),"01,09,11,13,20,29",09,41,5571480,158,185369,2099,3000,102841,200,1847795,10,14134736,5,"辽宁1注,上海1注,浙江2注,安徽32注,山东1注,广东3注,贵州1注,共41注。其中一等奖特别奖为：辽宁1注,浙江1注,安徽32注,山东1注,广东2注,贵州1注。",1002138181
2021142,2021-12-12(日),"04,07,17,19,20,24",16,8,8791842,227,167041,1642,3000,94056,200,1852762,10,11110610,5,"辽宁2注,黑龙江1注,河南1注,广东1注,云南1注,新疆1注,深圳1注,共8注。其中一等奖特别奖为：河南1注,广东1注,云南1注,深圳1注。",1142703731
2021141,2021-12-09(四),"01,14,19,23,26,30",10,7,8542650,132,234834,1383,3000,74249,200,1475684,10,15797325,5,"河北2注,福建1注,江西2注,湖北1注,甘肃1注,共7注。其中一等奖特别奖为：河北2注,福建1注,湖北1注,甘肃1注。",1099283201
2021140,2021-12-07(二),"05,10,16,26,27,33",01,20,6366303,694,49218,2916,3000,131648,200,1934360,10,8827282,5,"河北1注,山西1注,内蒙古1注,浙江1注,重庆9注,河南1注,湖北1注,四川3注,云南1注,青海1注,共20注。其中一等奖特别奖为：重庆5注,四川2注,云南1注,青海1注。",1066087178
2021139,2021-12-05(日),"12,14,19,23,24,27",01,14,7490724,193,225842,1358,3000,79425,200,1545315,10,10106904,5,"河北1注,辽宁1注,江苏5注,重庆1注,广东2注,四川2注,云南1注,陕西1注,共14注。其中一等奖特别奖为：河北1注,江苏5注,重庆1注,四川2注,云南1注,陕西1注。",1090940461
2021138,2021-12-02(四),"11,14,15,16,27,32",09,20,5685347,123,139298,2695,3000,124016,200,2089301,10,23212968,5,"河北1注,吉林1注,山东2注,重庆1注,河南1注,广东7注,广西1注,四川2注,云南2注,新疆2注,共20注。其中一等奖特别奖为：河北1注,吉林1注,山东1注,重庆1注,广东7注,四川1注,云南2注,新疆2注。",1065047563
2021137,2021-11-30(二),"03,07,10,14,21,24",01,19,6420588,274,123134,1796,3000,88992,200,1677279,10,11513744,5,"北京2注,辽宁1注,浙江1注,安徽3注,福建1注,重庆1注,四川2注,贵州4注,陕西3注,深圳1注,共19注。其中一等奖特别奖为：安徽1注,重庆1注,四川2注,贵州4注,陕西3注。",1127353431
2021136,2021-11-28(日),"02,06,09,15,19,28",16,10,7908192,319,113957,1777,3000,108928,200,2066923,10,12033664,5,"内蒙古2注,辽宁2注,浙江1注,安徽1注,山东2注,四川1注,云南1注,共10注。其中一等奖特别奖为：内蒙古2注,浙江1注,山东2注,四川1注。",1148127692
2021135,2021-11-25(四),"03,10,17,19,21,31",04,1,10000000,124,303985,1371,3000,73580,200,1449338,10,10873194,5,"安徽1注,共1注。其中一等奖特别奖为：安徽1注。",1118152404
2021134,2021-11-23(二),"01,02,16,19,25,31",08,11,7491866,109,314340,1246,3000,73202,200,1501384,10,12212826,5,"河北2注,上海1注,江苏1注,广东5注,云南2注,共11注。其中一等奖特别奖为：河北1注,上海1注,江苏1注,广东5注。",1015069784
2021133,2021-11-21(日),"01,03,12,19,27,31",10,12,7465121,171,216238,1708,3000,85746,200,1647164,10,12807060,5,"吉林1注,黑龙江1注,浙江1注,江西3注,湖南1注,广东1注,陕西2注,宁夏2注,共12注。其中一等奖特别奖为：黑龙江1注,浙江1注,江西3注,湖南1注,广东1注,宁夏2注。",994690824
2021132,2021-11-18(四),"01,04,06,14,20,28",08,6,7775391,171,121727,2515,3000,112683,200,2014998,10,21328314,5,"河北1注,山东2注,湖北1注,海南1注,云南1注,共6注。其中一等奖特别奖为：山东2注,湖北1注。",973341811
2021131,2021-11-16(二),"08,11,18,19,20,24",01,6,9453797,116,287961,1557,3000,83815,200,1646913,10,11350940,5,"内蒙古1注,江苏1注,浙江1注,福建1注,广西1注,云南1注,共6注。其中一等奖特别奖为：江苏1注,浙江1注,福建1注。",957547844
2021130,2021-11-14(日),"08,09,15,24,26,30",06,12,6336861,155,129373,2429,3000,115998,200,1966635,10,12934782,5,"江苏3注,浙江2注,安徽1注,河南1注,湖南1注,广东1注,四川1注,云南2注,共12注。",914060182
2021129,2021-11-11(四),"04,15,21,27,28,29",10,5,7512285,139,112962,1834,3000,87135,200,1538163,10,15575841,5,"浙江1注,福建1注,广东1注,四川1注,陕西1注,共5注。",929943762
2021128,2021-11-09(二),"05,17,20,21,23,33",04,3,10000000,66,369015,990,3000,54506,200,1090322,10,9806384,5,"内蒙古1注,湖南2注,共3注。",920399839
2021127,2021-11-07(日),"07,15,16,20,27,29",07,10,6816913,96,236577,1551,3000,77141,200,1348446,10,10983440,5,"上海1注,浙江1注,福建1注,江西1注,山东1注,广东2注,四川3注,共10注。",877334837
2021126,2021-11-04(四),"19,20,23,27,28,31",01,6,8689696,90,307474,716,3000,40239,200,895666,10,9209887,5,"山西1注,辽宁5注,共6注。",877369730
2021125,2021-11-02(二),"14,19,20,23,24,31",09,4,8898474,84,232052,1239,3000,65556,200,1223620,10,13381133,5,"内蒙古1注,上海1注,广东1注,甘肃1注,共4注。",846489745
2021124,2021-10-31(日),"01,03,18,22,29,32",02,8,7956250,117,252670,1011,3000,55712,200,1164759,10,9880553,5,"北京1注,江苏2注,福建2注,广东1注,深圳2注,共8注。",823606529
2021123,2021-10-28(四),"06,14,15,19,29,31",05,6,8473913,207,125866,1429,3000,81160,200,1561057,10,7844786,5,"河北1注,辽宁1注,山东1注,河南1注,湖北1注,湖南1注,共6注。",798569016
2021122,2021-10-26(二),"04,05,12,15,18,28",07,5,8231591,91,221949,1608,3000,78204,200,1406855,10,12300918,5,"北京1注,重庆1注,广东1注,贵州1注,云南1注,共5注。",771249437
2021121,2021-10-24(日),"04,05,12,16,22,30",15,7,7721874,205,116177,1769,3000,98135,200,1755290,10,10704926,5,"江苏1注,浙江1注,山东3注,甘肃2注,共7注。",751815051
2021120,2021-10-21(四),"01,07,08,12,13,18",05,40,5268563,496,27072,3968,3000,135450,200,1958845,10,12381809,5,"河北11注,山西1注,辽宁1注,吉林1注,黑龙江1注,浙江2注,山东1注,重庆2注,河南12注,湖北2注,广西1注,四川2注,陕西1注,甘肃1注,深圳1注,共40注。",734418962
2021119,2021-10-19(二),"03,09,10,11,28,29",13,15,6354639,356,71346,1861,3000,93916,200,1712832,10,6361168,5,"天津1注,辽宁1注,黑龙江1注,浙江1注,江西1注,重庆4注,湖北1注,湖南3注,广东1注,陕西1注,共15注。",904876996
2021118,2021-10-17(日),"02,06,14,18,20,31",13,6,8460209,126,205964,1285,3000,68471,200,1267023,10,11030667,5,"北京1注,浙江1注,山东1注,湖北1注,四川2注,共6注。",923998119
2021117,2021-10-14(四),"03,05,17,21,27,33",04,10,6782803,101,220644,1443,3000,69491,200,1187525,10,11293252,5,"安徽1注,河南2注,广东1注,贵州1注,云南5注,共10注。",896904658
2021116,2021-10-12(二),"06,14,17,18,31,33",06,3,10000000,46,552161,1108,3000,51903,200,1035380,10,9691974,5,"上海1注,安徽1注,广东1注,共3注。",897877549
2021115,2021-10-10(日),"02,10,12,15,24,27",08,5,7857682,100,178605,1755,3000,82453,200,1469923,10,15677560,5,"河北1注,内蒙古1注,福建1注,广东1注,云南1注,共5注。",851679247
2021114,2021-10-07(四),"04,06,08,14,24,27",02,3,10000000,177,158159,1159,3000,49586,200,1051972,10,5884946,5,"河北1注,山西2注,共3注。",837386111
2021113,2021-10-05(二),"04,07,10,22,27,30",02,12,6380290,231,89629,1313,3000,69736,200,1260963,10,6093964,5,"江苏1注,浙江1注,安徽1注,福建1注,江西1注,山东4注,广东1注,广西1注,四川1注,共12注。",783403562
2021112,2021-09-30(四),"05,06,21,25,28,33",07,22,5394421,229,47364,4288,3000,157535,200,2140687,10,14460308,5,"北京2注,河北1注,上海1注,江苏2注,浙江4注,安徽3注,福建1注,广东2注,广西1注,四川2注,贵州1注,陕西1注,深圳1注,共22注。",797853981
2021111,2021-09-28(二),"17,20,22,23,26,28",06,3,10000000,96,219919,1367,3000,66536,200,1272844,10,12202161,5,"河北1注,河南1注,广东1注,共3注。",883991506
2021110,2021-09-26(日),"10,13,15,24,31,32",02,5,9736534,246,120338,999,3000,48494,200,978568,10,10488816,5,"浙江1注,山东1注,四川1注,云南1注,陕西1注,共5注。",850654756
2021109,2021-09-23(四),"02,03,10,17,20,26",16,4,9492827,132,170182,1041,3000,64041,200,1255240,10,12270077,5,"内蒙古1注,黑龙江1注,福建1注,广东1注,共4注。",810527410
2021108,2021-09-21(二),"11,15,18,24,26,32",09,5,8478207,118,184227,1022,3000,64483,200,1287213,10,10161904,5,"福建1注,山东3注,重庆1注,共5注。",781106313
2021107,2021-09-19(日),"02,03,17,19,25,30",01,7,7867703,151,166174,1967,3000,87514,200,1471919,10,8281192,5,"天津1注,浙江2注,山东1注,湖北2注,广东1注,共7注。",758280964
2021106,2021-09-16(四),"01,04,07,14,30,31",03,7,8130452,150,182609,1137,3000,58151,200,1188236,10,8386172,5,"河北1注,浙江1注,福建1注,江西1注,山东1注,湖南2注,共7注。",738077667
2021105,2021-09-14(二),"10,14,15,22,27,32",09,9,6993977,174,128920,1497,3000,70287,200,1250498,10,10858158,5,"辽宁1注,浙江2注,山东1注,重庆2注,河南1注,湖北1注,新疆1注,共9注。",712816451
2021104,2021-09-12(日),"01,07,17,20,22,28",15,6,9475659,101,332350,964,3000,56794,200,1292130,10,6653795,5,"安徽1注,山东1注,湖南3注,深圳1注,共6注。",708465505
2021103,2021-09-09(四),"10,13,15,25,29,30",15,2,10000000,122,233872,1121,3000,63371,200,1254029,10,7692762,5,"山东1注,广东1注,共2注。",664617126
2021102,2021-09-07(二),"05,09,15,24,27,30",09,34,5285653,236,51441,3484,3000,133111,200,1938593,10,14065408,5,"河北1注,山西1注,内蒙古1注,江苏1注,浙江16注,山东1注,河南3注,湖北2注,湖南1注,广东2注,贵州1注,云南1注,陕西1注,宁夏1注,深圳1注,共34注。",599019763
2021101,2021-09-05(日),"02,04,12,22,29,31",01,6,8682830,107,258142,1128,3000,64342,200,1279444,10,10667635,5,"河北1注,江苏1注,福建1注,江西1注,河南1注,四川1注,共6注。",742311198
2021100,2021-09-02(四),"07,09,12,13,14,29",16,8,7583366,170,151962,1289,3000,78715,200,1572343,10,7945070,5,"湖南1注,贵州4注,云南1注,陕西2注,共8注。",711544497
2021099,2021-08-31(二),"09,11,17,18,20,27",15,7,7942916,278,92627,1251,3000,74032,200,1486441,10,7324464,5,"福建1注,重庆5注,湖北1注,共7注。",694710436
2021098,2021-08-29(日),"01,10,13,18,26,32",05,4,10000000,141,178834,1135,3000,64042,200,1353431,10,12137553,5,"山西1注,浙江1注,安徽1注,湖北1注,共4注。",673059288
2021097,2021-08-26(四),"03,11,12,13,25,28",12,45,5323421,359,50675,2611,3000,111890,200,1712428,10,10770974,5,"辽宁20注,吉林2注,上海1注,浙江3注,安徽1注,福建1注,山东2注,重庆6注,湖北3注,湖南1注,广东2注,海南1注,四川1注,新疆1注,共45注。",637412452
2021096,2021-08-24(二),"01,07,11,14,15,26",11,13,5640531,91,114380,2458,3000,107427,200,1756843,10,16605396,5,"山西1注,辽宁1注,黑龙江1注,浙江2注,安徽1注,福建1注,河南1注,四川1注,云南1注,甘肃1注,新疆1注,深圳1注,共13注。",822388985
2021095,2021-08-22(日),"08,12,17,24,27,28",13,4,10000000,140,201541,1212,3000,71862,200,1385115,10,8738036,5,"江西1注,山东1注,云南1注,新疆1注,共4注。",864489999
2021094,2021-08-19(四),"09,11,24,25,28,33",15,1,10000000,101,273512,939,3000,55433,200,1073497,10,7599864,5,"浙江1注,共1注。",819842497
2021093,2021-08-17(二),"05,11,15,23,28,33",03,5,8646623,229,99525,1519,3000,81885,200,1476260,10,8574636,5,"山西1注,黑龙江1注,山东2注,云南1注,共5注。",746968208
2021092,2021-08-15(日),"02,07,08,10,12,31",03,4,9066769,154,132037,2270,3000,96489,200,1690180,10,12594106,5,"河北2注,山东1注,广东1注,共4注。",721827132
2021091,2021-08-12(四),"04,06,16,24,26,33",16,4,10000000,102,258058,1454,3000,57244,200,1040232,10,8258156,5,"天津1注,江苏1注,浙江1注,福建1注,共4注。",697092670
2021090,2021-08-10(二),"05,06,12,14,27,28",08,19,5534608,199,63803,3132,3000,126379,200,1889998,10,12503687,5,"河北1注,辽宁1注,吉林1注,上海1注,江苏1注,浙江2注,安徽2注,福建1注,山东2注,湖北2注,湖南1注,广东1注,四川2注,云南1注,共19注。",658126685
2021089,2021-08-08(日),"01,02,07,13,23,24",12,51,5338932,659,32787,3029,3000,100562,200,1413621,10,11100604,5,"河北16注,上海1注,重庆15注,河南4注,四川11注,云南1注,新疆2注,深圳1注,共51注。",725193394
2021088,2021-08-05(四),"04,12,15,16,19,26",06,7,7133062,165,113116,1933,3000,94551,200,1632069,10,10092497,5,"山西1注,辽宁1注,上海1注,江苏2注,安徽1注,山东1注,共7注。",932658139
2021087,2021-08-03(二),"02,13,16,19,23,24",04,10,6520555,219,86789,1805,3000,89095,200,1495397,10,10024763,5,"河北1注,黑龙江1注,福建1注,江西1注,山东3注,湖北1注,广东1注,陕西1注,共10注。",926596691
2021086,2021-08-01(日),"06,08,10,14,28,29",01,1,10000000,123,214082,1461,3000,70011,200,1378287,10,8169348,5,"四川1注,共1注。",934781421
2021085,2021-07-29(四),"05,06,07,11,14,20",02,4,9473926,189,118357,1532,3000,74557,200,1335442,10,9232518,5,"安徽1注,福建1注,广东1注,广西1注,共4注。",865785162
2021084,2021-07-27(二),"05,07,09,11,21,28",01,21,5814345,182,117453,2273,3000,96799,200,1600076,10,7661859,5,"河北10注,辽宁1注,吉林1注,江西1注,山东2注,重庆1注,河南1注,湖南1注,广东1注,云南2注,共21注。",836571971
2021083,2021-07-25(日),"04,09,11,25,28,33",04,25,5173874,276,19686,4499,3000,163725,200,2293244,10,17837376,5,"北京1注,河北1注,山西1注,辽宁1注,江苏1注,浙江1注,江西1注,山东4注,河南1注,湖北1注,湖南1注,广东4注,四川2注,云南3注,陕西2注,共25注。",894543509
2021082,2021-07-22(四),"03,06,11,13,26,32",05,7,7348639,161,127643,1482,3000,83342,200,1523668,10,10037443,5,"天津1注,上海2注,江苏1注,云南1注,陕西1注,深圳1注,共7注。",1007589655
2021081,2021-07-20(二),"01,03,05,18,22,23",01,4,10000000,135,207725,879,3000,45659,200,1001881,10,6962930,5,"内蒙古1注,福建1注,云南1注,陕西1注,共4注。",997378346
2021080,2021-07-18(日),"05,08,22,23,24,29",09,12,6122048,119,141434,2263,3000,107774,200,1806713,10,14153530,5,"内蒙古3注,上海3注,山东2注,重庆1注,广东1注,云南2注,共12注。",953249373
2021079,2021-07-15(四),"01,03,10,24,28,29",13,8,7301888,95,242304,1614,3000,65031,200,1305677,10,9270187,5,"江苏1注,浙江1注,福建2注,湖南1注,广东3注,共8注。",976221781
2021078,2021-07-13(二),"04,06,15,26,27,31",12,6,7800858,132,159139,1568,3000,73374,200,1304974,10,10181168,5,"浙江1注,安徽1注,广东3注,陕西1注,共6注。",965580237
2021077,2021-07-11(日),"08,15,17,25,27,30",10,13,6434628,112,208149,1760,3000,81202,200,1433306,10,11185595,5,"内蒙古1注,吉林2注,江苏2注,福建1注,山东3注,湖北1注,湖南1注,广东1注,陕西1注,共13注。",949366069
2021076,2021-07-08(四),"03,09,21,23,30,32",06,4,7982765,87,171423,1448,3000,79528,200,1471463,10,15154121,5,"安徽2注,云南1注,新疆1注,共4注。",963078086
2021075,2021-07-06(二),"12,15,16,21,22,29",01,2,10000000,55,435092,888,3000,52998,200,1089033,10,10081835,5,"江苏1注,陕西1注,共2注。",950267665
2021074,2021-07-04(日),"04,05,09,14,25,27",07,14,5822076,163,88259,2839,3000,117710,200,1892436,10,15756412,5,"河北1注,辽宁2注,江苏1注,山东2注,湖北1注,广西4注,四川1注,陕西1注,深圳1注,共14注。",898477373
2021073,2021-07-01(四),"01,06,18,22,24,25",08,4,9536636,83,273291,1329,3000,70230,200,1423416,10,10085448,5,"重庆1注,湖北2注,云南1注,共4注。",936827442
2021072,2021-06-29(二),"01,09,15,16,19,21",15,3,10000000,105,275206,894,3000,49241,200,993424,10,6838341,5,"辽宁1注,浙江2注,共3注。",906924437
2021071,2021-06-27(日),"01,07,24,31,32,33",08,6,7393944,75,239394,1440,3000,67960,200,1217408,10,17290255,5,"上海1注,江苏1注,浙江1注,福建1注,四川1注,西藏1注,共6注。",850234438
2021070,2021-06-24(四),"01,05,11,15,16,29",15,6,8972728,179,166455,980,3000,53848,200,1106832,10,6099191,5,"江苏1注,浙江1注,河南3注,广西1注,共6注。",840734349
